# SubhaloID   MASS_BIN_CLASS   SSFR_BIN_CLASS   u_mag   g_mag   r_mag   i_mag   z_mag
69680 LOW QG -15.882001911161982 -17.478677286702432 -18.155385241506394 -18.502974561710698 -18.828129551128512
314783 LOW QG -15.23075303862371 -16.93490854848288 -17.665259465923974 -18.03365718627883 -18.381356261561233
265945 LOW QG -15.749642796959623 -17.270665943018063 -17.90711824000131 -18.240363658323943 -18.55202004205743
413614 LOW GV -14.448155794398561 -16.23833431544281 -17.00576560528644 -17.389906238808923 -17.753276935821823
496939 LOW GV -15.731147744883206 -17.34257122074212 -18.039424961296394 -18.399218238266542 -18.7408638749777
576776 LOW GV -16.713560943816358 -18.244950341298704 -18.901998222094115 -19.245983112395066 -19.571774623956845
575988 LOW MS -15.95902622391141 -17.50412653875134 -18.176257560389036 -18.528372727252773 -18.864660513403106
545657 LOW MS -17.664725679028617 -19.11115372108409 -19.72952353844173 -20.060653763102287 -20.376640822089
284957 LOW MS -16.785137869790972 -18.320218678671477 -18.977286130619724 -19.321685727464924 -19.648021136845934
83306 MW QG -19.21685631726575 -20.6167351348217 -21.199096243532814 -21.513887431826298 -21.810372826958968
454151 MW QG -18.61515445240363 -20.058942851841273 -20.656954539610673 -20.976644179674437 -21.276998767076392
225161 MW QG -18.921015530327423 -20.32278509427275 -20.893551327194395 -21.20213309300631 -21.491548011630318
52652 MW GV -18.245133846621805 -19.805927937067306 -20.464925999394595 -20.807868029702252 -21.129885619394557
397419 MW GV -17.905155207840146 -19.419322202457387 -20.068672469397395 -20.409927346949488 -20.73317238432854
544569 MW GV -17.701732584641153 -19.289908460084902 -19.97679936419062 -20.33253563061562 -20.670087310279936
485782 MW MS -17.979101909539857 -19.582123311307246 -20.27558329948807 -20.63426080078923 -20.97510458954586
406138 MW MS -17.63618916226344 -19.221897389786275 -19.900963185110843 -20.252590794560724 -20.584653879237905
528271 MW MS -17.88589015343047 -19.42854382984104 -20.09292927783262 -20.440900825712514 -20.771430605280514
242214 MASSIVE QG -21.98278116093384 -23.37292790363886 -23.946695840221718 -24.258238278757926 -24.552835868063365
234514 MASSIVE QG -21.847255874928706 -23.291044778855596 -23.89482016633741 -24.217487964524757 -24.521421629870748
310985 MASSIVE QG -22.339713964979833 -23.414538499566614 -23.804824488002943 -24.045904928744687 -24.288246948178077
194946 MASSIVE GV -21.876799374828344 -23.185958244891197 -23.712828094582644 -24.006250402255404 -24.285470676251883
291888 MASSIVE GV -22.2219247281768 -23.365902103430805 -23.80849178114599 -24.07226398219857 -24.333309078598337
277687 MASSIVE GV -22.186018145936313 -23.457777402286496 -23.96250619292056 -24.247291338957062 -24.51985586904548
