id,catalog,name,left_wl_begin,left_wl_end,central_wl_begin,central_wl_end,right_wl_begin,right_wl_end,kind,units,definition_status,notes
BH_CNB,BH,CNB,3785.0,3810.0,3810.0,3910.0,3910.0,3925.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
BH_HplusK,BH,HplusK,3910.0,3925.0,3925.0,3995.0,3995.0,4010.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Lick_CN1,Lick,CN1,4080.125,4117.625,4142.125,4177.125,4244.125,4284.125,absorption_index,mag,standard,Classical Lick/IDS air-wavelength passbands.
Lick_CN2,Lick,CN2,4083.875,4096.375,4142.125,4177.125,4244.125,4284.125,absorption_index,mag,standard,Classical Lick/IDS air-wavelength passbands.
BH_CaI,BH,CaI,4200.0,4215.0,4215.0,4245.0,4245.0,4260.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Lick_Ca4227,Lick,Ca4227,4211.0,4219.75,4222.25,4234.75,4241.0,4251.0,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_G4300,Lick,G4300,4266.375,4282.625,4281.375,4316.375,4318.875,4332.125,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
BH_G,BH,G,4275.0,4285.0,4285.0,4315.0,4315.0,4325.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Lick_Fe4383,Lick,Fe4383,4359.125,4370.375,4369.125,4420.375,4442.875,4455.375,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_Ca4455,Lick,Ca4455,4445.875,4454.625,4452.125,4474.625,4477.125,4492.125,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_Fe4531,Lick,Fe4531,4504.25,4514.25,4514.25,4559.25,4560.5,4579.25,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_C4668,Lick,C4668,4611.5,4630.25,4634.0,4720.25,4742.75,4756.5,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Spiniello_bTiO,Spiniello,bTiO,4742.75,4756.5,4758.5,4800.0,4827.875,4847.875,absorption_index,mag,standard,IMF-sensitive molecular-band index.
BH_Hbeta,BH,Hbeta,4800.0,4830.0,4830.0,4890.0,4890.0,4920.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Lick_Hbeta,Lick,Hbeta,4827.875,4847.875,4847.875,4876.625,4876.625,4891.625,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
BH_MH,BH,MH,4740.0,4940.0,4940.0,5350.0,5350.0,5550.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Lick_Fe5015,Lick,Fe5015,4946.5,4977.75,4977.75,5054.0,5054.0,5065.25,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_Mg1,Lick,Mg1,4895.125,4957.625,5069.125,5134.125,5301.125,5366.125,absorption_index,mag,standard,Classical Lick/IDS air-wavelength passbands.
BH_MgG,BH,MgG,5125.0,5150.0,5150.0,5195.0,5195.0,5220.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Lick_Mg2,Lick,Mg2,4895.125,4957.625,5154.125,5196.625,5301.125,5366.125,absorption_index,mag,standard,Classical Lick/IDS air-wavelength passbands.
Lick_Mgb,Lick,Mgb,5142.625,5161.375,5160.125,5192.625,5191.375,5206.375,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_Fe5270,Lick,Fe5270,5233.15,5248.15,5245.65,5285.65,5285.65,5318.15,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
BH_FC,BH,FC,5225.0,5250.0,5250.0,5280.0,5280.0,5305.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Lick_Fe5335,Lick,Fe5335,5304.625,5315.875,5312.125,5352.125,5353.375,5363.375,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_Fe5406,Lick,Fe5406,5376.25,5387.5,5387.5,5415.0,5415.0,5425.0,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Spiniello_aTiO,Spiniello,aTiO,5420.0,5442.0,5445.0,5600.0,5630.0,5655.0,absorption_index,mag,standard,IMF-sensitive molecular-band index.
Lick_Fe5709,Lick,Fe5709,5672.875,5696.625,5696.625,5720.375,5722.875,5736.625,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
